單字,詞性,中文,例句
diligent,adj.,勤勉的,She is a diligent student.
curious,adj.,好奇的,Cats are curious animals.
achieve,v.,達成,He worked hard to achieve his goal.
environment,n.,環境,We should protect the environment.
opportunity,n.,機會,This is a great opportunity.
confident,adj.,有自信的,Be confident in yourself.
improve,v.,改善,Practice helps you improve.
generous,adj.,慷慨的,She is generous to everyone.
schedule,n.,行程表,Check your schedule first.
challenge,n.,挑戰,Every day brings a new challenge.
creative,adj.,有創意的,He has many creative ideas.
responsible,adj.,負責任的,Be responsible for your actions.
